,id
0,176117
2,184623
3,184626
4,244790
5,276612
8,301978
9,318083
10,318084
11,328510
12,328519
13,9171479
14,9171482
15,9171483
16,9421746
20,14090062
22,14090272
30,14121886
35,14140290
36,14140291
37,14162110
38,14162400
41,14164567
64,16007581
65,16009234
66,16010589
67,16010612
68,16014960
69,16014961
70,16015156
71,16018212
72,16020360
73,16021668
75,16024490
78,16027746
79,16030580
80,16030584
81,16030585
82,16030588
83,16030589
84,16030590
85,16030593
86,16031893
89,16040059
90,16040060
91,16040867
92,16043915
93,16045629
95,16045637
96,16045644
98,16046251
100,16047254
101,16047257
102,16047259
103,16047276
104,16050952
105,16051271
106,16051272
107,16051273
108,16051274
109,16051275
110,16051276
111,16051277
112,16051278
113,16051279
116,16051294
118,16053217
119,16057195
121,16057475
122,16058688
126,16059519
127,16059520
128,16059521
130,16060571
131,16060572
132,16060573
133,16061687
134,16063951
136,16064065
137,16064066
139,16065150
140,16065152
141,16065162
142,16065780
144,16066820
145,16067199
147,16067442
148,16067443
151,16067448
152,16067580
153,16067727
154,16067731
156,16067757
157,16069793
158,16069798
159,16069830
161,16072484
162,16073041
163,16073930
164,16074923
165,16075726
168,16078182
170,16080059
